Retailer,Retailer_ID,Invoice_Date,Sales_Quater,State,City,Product,Price_per_Unit,Units_Sold,Sales_Method,Total_Sales,Operating_Cost,Operating_Profit,Operating_Margin
Nike Store,1002,01-01-2024,Q4,Maharashtra,Mumbai,T Shirt,8841.61,9,Store,79574.49,65446.83,14127.66,18.00%
Ajio,1030,01-01-2024,Q1,Kerala,Kochi,Running Shoes,5258.37,2,Store,10516.74,8171.12,2345.62,22.00%
Nike Store,1030,01-01-2024,Q4,Maharashtra,Mumbai,T Shirt,5744.8,7,Online,40213.6,32787.66,7425.94,18.00%
Ajio,1042,01-01-2024,Q1,Kerala,Kochi,Jacket,8303.18,8,Online,66425.44,52870.96,13554.48,20.00%
Flipkart,1004,01-01-2024,Q2,Delhi,Delhi,T Shirt,4165.79,5,Online,20828.95,15653.23,5175.72,25.00%
Amazon,1023,01-01-2024,Q2,Karnataka,Bangalore,Shorts,2518.39,9,Store,22665.51,19441.46,3224.05,14.00%
Flipkart,1027,02-01-2024,Q1,Tamil Nadu,Chennai,T Shirt,9050.7,2,Store,18101.4,12971.17,5130.23,28.00%
Flipkart,1026,02-01-2024,Q3,Karnataka,Bangalore,Shorts,5926.99,7,Online,41488.93,36431.17,5057.76,12.00%
Flipkart,1045,02-01-2024,Q2,Tamil Nadu,Chennai,Jacket,7598.07,1,Store,7598.07,6758.13,839.94,11.00%
Ajio,1041,02-01-2024,Q3,Kerala,Kochi,Running Shoes,8722.77,7,Online,61059.39,45486.42,15572.97,26.00%
Flipkart,1044,02-01-2024,Q4,Delhi,Delhi,Shorts,9235.48,3,Online,27706.44,21317.54,6388.9,23.00%
Myntra,1023,02-01-2024,Q1,Karnataka,Bangalore,Running Shoes,6991.22,6,Online,41947.32,35075.21,6872.11,16.00%
Nike Store,1020,02-01-2024,Q1,Tamil Nadu,Chennai,Running Shoes,6415.85,1,Online,6415.85,5690.81,725.04,11.00%
Flipkart,1008,02-01-2024,Q1,Karnataka,Bangalore,Running Shoes,8620.73,7,Store,60345.11,51050.45,9294.66,15.00%
Myntra,1024,02-01-2024,Q2,Karnataka,Bangalore,Jacket,8893.9,1,Store,8893.9,6286.76,2607.14,29.00%
Flipkart,1028,02-01-2024,Q2,Kerala,Kochi,T Shirt,9592.12,2,Online,19184.24,14904.23,4280.01,22.00%
Flipkart,1008,02-01-2024,Q2,Karnataka,Bangalore,Jacket,6464.19,8,Online,51713.52,48697.62,3015.9,6.00%
Myntra,1005,02-01-2024,Q1,Kerala,Kochi,Shorts,8483.6,3,Online,25450.8,19400.21,6050.59,24.00%
Ajio,1048,02-01-2024,Q4,Maharashtra,Mumbai,Jacket,4453.2,6,Online,26719.2,19754.04,6965.16,26.00%
Amazon,1015,02-01-2024,Q2,Karnataka,Bangalore,Sneakers,8237.07,5,Online,41185.35,35977.93,5207.42,13.00%
Myntra,1035,02-01-2024,Q4,Maharashtra,Mumbai,Sneakers,9876.82,4,Store,39507.28,36744.94,2762.34,7.00%
Ajio,1040,02-01-2024,Q2,Karnataka,Bangalore,Running Shoes,5827.77,6,Online,34966.62,26842.73,8123.89,23.00%
Nike Store,1026,02-01-2024,Q3,Karnataka,Bangalore,T Shirt,5153.67,4,Store,20614.68,17373.73,3240.95,16.00%
Ajio,1049,02-01-2024,Q4,Delhi,Delhi,T Shirt,10162.43,6,Store,60974.58,42783.8,18190.78,30.00%
Amazon,1004,03-01-2024,Q4,Delhi,Delhi,Shorts,4386.25,5,Store,21931.25,16054.61,5876.64,27.00%
Myntra,1043,03-01-2024,Q2,Kerala,Kochi,T Shirt,9940.17,8,Store,79521.36,72582.18,6939.18,9.00%
Flipkart,1018,03-01-2024,Q1,Maharashtra,Mumbai,Sneakers,4568.89,2,Online,9137.78,6842,2295.78,25.00%
Nike Store,1005,03-01-2024,Q4,Karnataka,Bangalore,T Shirt,6967.95,6,Store,41807.7,34959.07,6848.63,16.00%
Amazon,1006,03-01-2024,Q2,Tamil Nadu,Chennai,Jacket,6841.82,7,Store,47892.74,44933.73,2959.01,6.00%
Ajio,1043,03-01-2024,Q1,Tamil Nadu,Chennai,Sneakers,9092.45,3,Store,27277.35,23458.13,3819.22,14.00%
Flipkart,1019,03-01-2024,Q4,Kerala,Kochi,T Shirt,6441.92,4,Store,25767.68,21010.52,4757.16,18.00%
Nike Store,1021,03-01-2024,Q2,Delhi,Delhi,Jacket,9776.97,7,Store,68438.79,51397.87,17040.92,25.00%
Nike Store,1019,03-01-2024,Q4,Karnataka,Bangalore,Running Shoes,2350.43,4,Online,9401.72,8544.16,857.56,9.00%
Flipkart,1044,03-01-2024,Q1,Kerala,Kochi,Jacket,2374.9,3,Store,7124.7,5655.09,1469.61,21.00%
Amazon,1049,03-01-2024,Q2,Karnataka,Bangalore,Jacket,11303.88,5,Store,56519.4,50473.51,6045.89,11.00%
Flipkart,1031,03-01-2024,Q2,Maharashtra,Mumbai,Sneakers,7239.6,1,Store,7239.6,6078.92,1160.68,16.00%
Myntra,1034,03-01-2024,Q3,Delhi,Delhi,T Shirt,7216.15,3,Store,21648.45,16320.76,5327.69,25.00%
Ajio,1025,03-01-2024,Q2,Kerala,Kochi,T Shirt,8091.87,3,Online,24275.61,22784.4,1491.21,6.00%
Myntra,1001,03-01-2024,Q4,Tamil Nadu,Chennai,Sneakers,2207.4,5,Online,11037,8969.11,2067.89,19.00%
Flipkart,1000,03-01-2024,Q3,Kerala,Kochi,Shorts,8396.88,3,Online,25190.64,22602.01,2588.63,10.00%
Myntra,1005,03-01-2024,Q2,Delhi,Delhi,Running Shoes,6520.48,2,Store,13040.96,10319.81,2721.15,21.00%
Amazon,1029,03-01-2024,Q2,Karnataka,Bangalore,Jacket,6057.44,7,Store,42402.08,40248.95,2153.13,5.00%
Amazon,1015,03-01-2024,Q1,Delhi,Delhi,Jacket,4602.58,7,Online,32218.06,29924.79,2293.27,7.00%
Nike Store,1044,03-01-2024,Q4,Tamil Nadu,Chennai,Shorts,10752.6,7,Store,75268.2,70036.69,5231.51,7.00%
Nike Store,1018,03-01-2024,Q1,Karnataka,Bangalore,Running Shoes,6167.05,8,Store,49336.4,39060.06,10276.34,21.00%
Flipkart,1047,03-01-2024,Q4,Kerala,Kochi,Sneakers,10580.9,5,Store,52904.5,49337.06,3567.44,7.00%
Ajio,1006,03-01-2024,Q2,Tamil Nadu,Chennai,Sneakers,11529.82,6,Online,69178.92,62663.54,6515.38,9.00%
Nike Store,1032,04-01-2024,Q4,Delhi,Delhi,Jacket,4267.77,7,Store,29874.39,21825.18,8049.21,27.00%
Amazon,1000,04-01-2024,Q3,Kerala,Kochi,Running Shoes,9386.24,8,Store,75089.92,64704.52,10385.4,14.00%
Amazon,1019,04-01-2024,Q2,Delhi,Delhi,Shorts,3498.94,7,Store,24492.58,17697.88,6794.7,28.00%
Flipkart,1003,04-01-2024,Q2,Maharashtra,Mumbai,T Shirt,3490.85,1,Store,3490.85,3260.1,230.75,7.00%
Flipkart,1005,04-01-2024,Q2,Tamil Nadu,Chennai,Running Shoes,5769.33,8,Online,46154.64,40427.13,5727.51,12.00%
Myntra,1019,04-01-2024,Q2,Delhi,Delhi,Shorts,10167.46,5,Store,50837.3,36849.83,13987.47,28.00%
Amazon,1044,04-01-2024,Q4,Maharashtra,Mumbai,Jacket,5103.54,9,Online,45931.86,39156.23,6775.63,15.00%
Amazon,1030,04-01-2024,Q2,Delhi,Delhi,Running Shoes,6897.13,3,Online,20691.39,17395.07,3296.32,16.00%
Nike Store,1014,04-01-2024,Q2,Kerala,Kochi,Shorts,11509.14,2,Store,23018.28,20552.1,2466.18,11.00%
Ajio,1036,04-01-2024,Q3,Delhi,Delhi,Shorts,5223.36,2,Store,10446.72,8048.43,2398.29,23.00%
Myntra,1012,04-01-2024,Q4,Karnataka,Bangalore,T Shirt,4653.22,1,Store,4653.22,4030.08,623.14,13.00%
Amazon,1007,04-01-2024,Q3,Karnataka,Bangalore,Running Shoes,3119.51,9,Store,28075.59,20131.98,7943.61,28.00%
Myntra,1015,04-01-2024,Q2,Maharashtra,Mumbai,Shorts,10287.67,7,Store,72013.69,55135.99,16877.7,23.00%
Ajio,1023,04-01-2024,Q2,Karnataka,Bangalore,Sneakers,10986.14,8,Store,87889.12,72434.14,15454.98,18.00%
Myntra,1034,04-01-2024,Q4,Maharashtra,Mumbai,T Shirt,2550.16,5,Store,12750.8,9582.76,3168.04,25.00%
Ajio,1000,04-01-2024,Q2,Karnataka,Bangalore,Shorts,9881.13,8,Online,79049.04,60545.4,18503.64,23.00%
Flipkart,1040,04-01-2024,Q1,Karnataka,Bangalore,Jacket,5806.53,2,Store,11613.06,8835.3,2777.76,24.00%
Amazon,1008,04-01-2024,Q3,Kerala,Kochi,Shorts,9310.4,4,Store,37241.6,27717.41,9524.19,26.00%
Ajio,1033,04-01-2024,Q2,Tamil Nadu,Chennai,Shorts,7213.7,8,Store,57709.6,41297.4,16412.2,28.00%
Nike Store,1015,04-01-2024,Q4,Delhi,Delhi,Shorts,9517.09,8,Online,76136.72,60383.08,15753.64,21.00%
Amazon,1014,05-01-2024,Q4,Delhi,Delhi,Jacket,4442.46,8,Online,35539.68,33618.68,1921,5.00%
Nike Store,1007,05-01-2024,Q4,Kerala,Kochi,Jacket,6154.02,7,Store,43078.14,39634.79,3443.35,8.00%
Flipkart,1012,05-01-2024,Q4,Karnataka,Bangalore,Running Shoes,3658.45,9,Online,32926.05,31152.25,1773.8,5.00%
Flipkart,1032,05-01-2024,Q2,Karnataka,Bangalore,Shorts,11010.79,2,Store,22021.58,16599.57,5422.01,25.00%
Amazon,1028,05-01-2024,Q3,Karnataka,Bangalore,Shorts,5844.56,9,Online,52601.04,44666.53,7934.51,15.00%
Nike Store,1014,05-01-2024,Q4,Tamil Nadu,Chennai,Running Shoes,9262.58,2,Online,18525.16,16286.17,2238.99,12.00%
Ajio,1006,05-01-2024,Q4,Tamil Nadu,Chennai,Sneakers,9909.53,1,Online,9909.53,8370.72,1538.81,16.00%
Amazon,1041,05-01-2024,Q2,Karnataka,Bangalore,Jacket,8862.59,8,Online,70900.72,64484.81,6415.91,9.00%
Ajio,1022,05-01-2024,Q3,Delhi,Delhi,Jacket,3134.08,7,Online,21938.56,18799.85,3138.71,14.00%
Flipkart,1011,05-01-2024,Q2,Kerala,Kochi,Jacket,11642.69,7,Online,81498.83,67007.93,14490.9,18.00%
Ajio,1005,05-01-2024,Q3,Delhi,Delhi,Jacket,6434.74,2,Store,12869.48,9192.53,3676.95,29.00%
Amazon,1045,05-01-2024,Q2,Maharashtra,Mumbai,Sneakers,4750.49,8,Online,38003.92,33926.84,4077.08,11.00%
Nike Store,1037,05-01-2024,Q4,Tamil Nadu,Chennai,T Shirt,8199.13,4,Online,32796.52,26029.01,6767.51,21.00%
Flipkart,1000,05-01-2024,Q2,Tamil Nadu,Chennai,Running Shoes,3886.44,2,Store,7772.88,5755.53,2017.35,26.00%
Ajio,1043,05-01-2024,Q1,Karnataka,Bangalore,Shorts,7591.88,4,Online,30367.52,28457.07,1910.45,6.00%
Ajio,1018,05-01-2024,Q3,Karnataka,Bangalore,T Shirt,3415.92,1,Store,3415.92,2515.06,900.86,26.00%
Nike Store,1047,05-01-2024,Q4,Delhi,Delhi,Sneakers,9144.62,1,Store,9144.62,8686.94,457.68,5.00%
Amazon,1049,05-01-2024,Q2,Delhi,Delhi,Jacket,8554.11,9,Store,76986.99,66315.81,10671.18,14.00%
Nike Store,1005,06-01-2024,Q4,Maharashtra,Mumbai,T Shirt,2694.3,3,Online,8082.9,6625.02,1457.88,18.00%
Nike Store,1023,06-01-2024,Q2,Delhi,Delhi,Running Shoes,6800.95,9,Store,61208.55,56040.63,5167.92,8.00%
Amazon,1046,06-01-2024,Q2,Kerala,Kochi,T Shirt,10127.96,5,Online,50639.8,38745.91,11893.89,23.00%
Ajio,1004,06-01-2024,Q4,Kerala,Kochi,Jacket,2243.72,6,Store,13462.32,11872.87,1589.45,12.00%
Amazon,1027,06-01-2024,Q4,Tamil Nadu,Chennai,Running Shoes,10791.71,4,Online,43166.84,38294.01,4872.83,11.00%
Nike Store,1024,06-01-2024,Q4,Kerala,Kochi,Jacket,9438.75,1,Store,9438.75,8214.9,1223.85,13.00%
Flipkart,1013,06-01-2024,Q2,Maharashtra,Mumbai,Shorts,10594.35,8,Store,84754.8,79212.42,5542.38,7.00%
Ajio,1003,06-01-2024,Q3,Delhi,Delhi,Running Shoes,4997.8,9,Store,44980.2,37128.77,7851.43,17.00%
Nike Store,1004,06-01-2024,Q2,Delhi,Delhi,Shorts,11302.06,1,Store,11302.06,9197.02,2105.04,19.00%
Amazon,1002,06-01-2024,Q3,Karnataka,Bangalore,Shorts,7139.67,3,Store,21419.01,18684.65,2734.36,13.00%
Amazon,1004,06-01-2024,Q2,Delhi,Delhi,T Shirt,8189.29,3,Online,24567.87,22413.98,2153.89,9.00%
Flipkart,1028,06-01-2024,Q3,Kerala,Kochi,Sneakers,6457.4,5,Online,32287,27902.09,4384.91,14.00%
Amazon,1021,06-01-2024,Q4,Karnataka,Bangalore,Jacket,9418.9,2,Store,18837.8,14905.74,3932.06,21.00%
Flipkart,1047,06-01-2024,Q3,Maharashtra,Mumbai,Shorts,7198.56,4,Store,28794.24,27244.46,1549.78,5.00%
Flipkart,1038,06-01-2024,Q4,Maharashtra,Mumbai,Sneakers,2832.14,8,Online,22657.12,16562.33,6094.79,27.00%
Ajio,1044,06-01-2024,Q2,Maharashtra,Mumbai,Shorts,11092.31,8,Store,88738.48,70252.03,18486.45,21.00%
Ajio,1046,06-01-2024,Q4,Maharashtra,Mumbai,Sneakers,10833.07,2,Store,21666.14,17999.11,3667.03,17.00%
Myntra,1001,06-01-2024,Q4,Kerala,Kochi,Jacket,3761.84,2,Store,7523.68,7128.87,394.81,5.00%
Amazon,1028,07-01-2024,Q1,Delhi,Delhi,Shorts,5829.09,2,Store,11658.18,9033.82,2624.36,23.00%
Myntra,1043,07-01-2024,Q4,Delhi,Delhi,Sneakers,2500.42,5,Online,12502.1,9194.94,3307.16,26.00%
Myntra,1033,07-01-2024,Q1,Kerala,Kochi,Running Shoes,9794.36,9,Online,88149.24,74179.73,13969.51,16.00%
Flipkart,1001,07-01-2024,Q4,Delhi,Delhi,Sneakers,11582.85,6,Store,69497.1,51115.1,18382,26.00%
Nike Store,1047,07-01-2024,Q4,Tamil Nadu,Chennai,T Shirt,2875.08,4,Store,11500.32,8976.47,2523.85,22.00%
Ajio,1020,07-01-2024,Q1,Kerala,Kochi,Running Shoes,8099.59,1,Online,8099.59,5849.53,2250.06,28.00%
Amazon,1017,07-01-2024,Q1,Kerala,Kochi,Shorts,9813.37,3,Online,29440.11,20767.55,8672.56,29.00%
Flipkart,1022,07-01-2024,Q2,Kerala,Kochi,Jacket,9985.47,1,Online,9985.47,8758.67,1226.8,12.00%
Flipkart,1033,07-01-2024,Q4,Tamil Nadu,Chennai,Jacket,7861.73,9,Store,70755.57,66313.74,4441.83,6.00%
Amazon,1033,07-01-2024,Q1,Tamil Nadu,Chennai,T Shirt,4103.81,6,Store,24622.86,19189.48,5433.38,22.00%
Amazon,1018,07-01-2024,Q2,Delhi,Delhi,T Shirt,11944.07,3,Store,35832.21,26601.01,9231.2,26.00%
Ajio,1044,07-01-2024,Q4,Tamil Nadu,Chennai,Shorts,7191.58,3,Online,21574.74,16883.48,4691.26,22.00%
Myntra,1026,07-01-2024,Q2,Maharashtra,Mumbai,Jacket,4588.41,1,Store,4588.41,4094.48,493.93,11.00%
Ajio,1016,07-01-2024,Q2,Kerala,Kochi,T Shirt,3553.54,5,Store,17767.7,13401.24,4366.46,25.00%
Nike Store,1030,07-01-2024,Q2,Maharashtra,Mumbai,Sneakers,5418.2,6,Online,32509.2,29800.92,2708.28,8.00%
Amazon,1035,07-01-2024,Q3,Delhi,Delhi,T Shirt,7681.03,5,Store,38405.15,29103.2,9301.95,24.00%
Myntra,1045,07-01-2024,Q1,Tamil Nadu,Chennai,Sneakers,8922.63,7,Store,62458.41,46757.86,15700.55,25.00%
Flipkart,1023,07-01-2024,Q3,Delhi,Delhi,Jacket,5741.6,5,Online,28708,24705.46,4002.54,14.00%
Nike Store,1010,07-01-2024,Q4,Maharashtra,Mumbai,Jacket,3284.54,9,Online,29560.86,22872.91,6687.95,23.00%
Myntra,1040,08-01-2024,Q3,Tamil Nadu,Chennai,Running Shoes,11185.49,9,Online,100669.41,90868.84,9800.57,10.00%
Amazon,1005,08-01-2024,Q1,Kerala,Kochi,T Shirt,11777.18,4,Store,47108.72,40412.76,6695.96,14.00%
Ajio,1038,08-01-2024,Q4,Delhi,Delhi,Running Shoes,6527.18,4,Store,26108.72,22962.03,3146.69,12.00%
Nike Store,1022,08-01-2024,Q1,Karnataka,Bangalore,Running Shoes,3954.94,3,Online,11864.82,11168.57,696.25,6.00%
Ajio,1002,08-01-2024,Q3,Delhi,Delhi,Running Shoes,4961.89,3,Store,14885.67,13611.03,1274.64,9.00%
Nike Store,1006,08-01-2024,Q2,Karnataka,Bangalore,Jacket,7988.81,6,Online,47932.86,36633.59,11299.27,24.00%
Amazon,1024,08-01-2024,Q2,Maharashtra,Mumbai,Running Shoes,2952.89,3,Online,8858.67,7842.71,1015.96,11.00%
Myntra,1010,08-01-2024,Q4,Kerala,Kochi,Sneakers,2138.48,5,Online,10692.4,9420.25,1272.15,12.00%
Amazon,1031,08-01-2024,Q3,Kerala,Kochi,Jacket,8892.13,8,Online,71137.04,56952.04,14185,20.00%
Amazon,1007,08-01-2024,Q4,Maharashtra,Mumbai,T Shirt,4727.35,3,Online,14182.05,13279.95,902.1,6.00%
Ajio,1032,08-01-2024,Q3,Karnataka,Bangalore,Running Shoes,4513.82,1,Online,4513.82,4224.32,289.5,6.00%
Flipkart,1013,08-01-2024,Q3,Tamil Nadu,Chennai,Running Shoes,10227.2,7,Store,71590.4,55541.29,16049.11,22.00%
Amazon,1035,08-01-2024,Q4,Kerala,Kochi,Jacket,11375.8,3,Store,34127.4,24687.33,9440.07,28.00%
Ajio,1034,08-01-2024,Q4,Delhi,Delhi,Running Shoes,4695.5,5,Store,23477.5,16777.29,6700.21,29.00%
Amazon,1049,08-01-2024,Q2,Delhi,Delhi,T Shirt,4640.82,6,Online,27844.92,20476.5,7368.42,26.00%
Flipkart,1036,08-01-2024,Q4,Maharashtra,Mumbai,Sneakers,6108.84,6,Online,36653.04,33304.04,3349,9.00%
Nike Store,1003,08-01-2024,Q2,Delhi,Delhi,Shorts,9597.9,4,Store,38391.6,32759.55,5632.05,15.00%
Ajio,1043,08-01-2024,Q2,Kerala,Kochi,Shorts,3939.06,7,Online,27573.42,21005.45,6567.97,24.00%
Ajio,1033,08-01-2024,Q4,Delhi,Delhi,Sneakers,4278.78,6,Online,25672.68,23674.87,1997.81,8.00%
Myntra,1012,08-01-2024,Q1,Delhi,Delhi,Jacket,5941,4,Online,23764,18765.6,4998.4,21.00%
Myntra,1016,09-01-2024,Q3,Delhi,Delhi,Running Shoes,7536.68,4,Store,30146.72,26223.34,3923.38,13.00%
Myntra,1045,09-01-2024,Q4,Tamil Nadu,Chennai,Jacket,9619.71,7,Online,67337.97,59408.32,7929.65,12.00%
Myntra,1048,09-01-2024,Q2,Tamil Nadu,Chennai,Sneakers,5100.14,6,Store,30600.84,26803.56,3797.28,12.00%
Nike Store,1020,09-01-2024,Q3,Tamil Nadu,Chennai,Sneakers,4257.79,8,Store,34062.32,32267.74,1794.58,5.00%
Myntra,1003,09-01-2024,Q4,Delhi,Delhi,T Shirt,9255.2,1,Store,9255.2,8531.17,724.03,8.00%
Myntra,1016,09-01-2024,Q4,Tamil Nadu,Chennai,Shorts,2700.86,5,Store,13504.3,12034.44,1469.86,11.00%
Ajio,1021,09-01-2024,Q4,Kerala,Kochi,Shorts,6745.23,5,Online,33726.15,28765.88,4960.27,15.00%
Nike Store,1037,09-01-2024,Q4,Delhi,Delhi,Sneakers,10384.3,7,Store,72690.1,62418.12,10271.98,14.00%
Ajio,1033,09-01-2024,Q4,Kerala,Kochi,T Shirt,8911.76,5,Online,44558.8,39929.9,4628.9,10.00%
Ajio,1025,09-01-2024,Q2,Tamil Nadu,Chennai,Jacket,10533.23,4,Store,42132.92,29496.89,12636.03,30.00%
Amazon,1031,09-01-2024,Q4,Kerala,Kochi,Shorts,8389.03,8,Store,67112.24,47005.21,20107.03,30.00%
Myntra,1048,09-01-2024,Q2,Kerala,Kochi,Shorts,7807.39,1,Store,7807.39,5481.64,2325.75,30.00%
Myntra,1010,09-01-2024,Q4,Maharashtra,Mumbai,Sneakers,10179.93,5,Online,50899.65,46186.83,4712.82,9.00%
Amazon,1001,09-01-2024,Q2,Maharashtra,Mumbai,Jacket,2205.23,2,Store,4410.46,3827.76,582.7,13.00%
Myntra,1034,09-01-2024,Q2,Delhi,Delhi,T Shirt,6569.25,1,Store,6569.25,5153.94,1415.31,22.00%
Amazon,1006,09-01-2024,Q3,Delhi,Delhi,Sneakers,4882.12,3,Store,14646.36,10477.5,4168.86,28.00%
Nike Store,1042,09-01-2024,Q2,Tamil Nadu,Chennai,Jacket,7159.17,6,Online,42955.02,32562.67,10392.35,24.00%
Amazon,1007,09-01-2024,Q2,Delhi,Delhi,Running Shoes,4101.46,6,Online,24608.76,20519.8,4088.96,17.00%
Nike Store,1040,09-01-2024,Q4,Maharashtra,Mumbai,Shorts,11090.49,2,Store,22180.98,20063.3,2117.68,10.00%
Ajio,1020,10-01-2024,Q4,Tamil Nadu,Chennai,Shorts,5113.74,1,Online,5113.74,3941.35,1172.39,23.00%
Amazon,1021,10-01-2024,Q2,Delhi,Delhi,Shorts,3020.1,4,Online,12080.4,10156.64,1923.76,16.00%
Ajio,1007,10-01-2024,Q3,Delhi,Delhi,Sneakers,11216.35,2,Online,22432.7,19144.7,3288,15.00%
Ajio,1044,10-01-2024,Q4,Delhi,Delhi,Running Shoes,2800.41,7,Store,19602.87,15522.28,4080.59,21.00%
Flipkart,1017,10-01-2024,Q4,Delhi,Delhi,Jacket,10955.07,4,Online,43820.28,38886.74,4933.54,11.00%
Myntra,1049,10-01-2024,Q2,Delhi,Delhi,Running Shoes,5162.99,3,Online,15488.97,11732.88,3756.09,24.00%
Flipkart,1019,10-01-2024,Q1,Karnataka,Bangalore,Jacket,10317.38,7,Online,72221.66,66151.7,6069.96,8.00%
Ajio,1029,10-01-2024,Q4,Karnataka,Bangalore,Jacket,3044.99,7,Online,21314.93,15690.71,5624.22,26.00%
Flipkart,1048,10-01-2024,Q2,Karnataka,Bangalore,T Shirt,3327.43,8,Store,26619.44,22935.43,3684.01,14.00%
Nike Store,1028,10-01-2024,Q4,Kerala,Kochi,Sneakers,7359.53,9,Store,66235.77,50860.18,15375.59,23.00%
Flipkart,1044,10-01-2024,Q4,Maharashtra,Mumbai,T Shirt,7754.66,4,Store,31018.64,27935.02,3083.62,10.00%
Amazon,1003,10-01-2024,Q1,Delhi,Delhi,Sneakers,3612.12,8,Online,28896.96,20657.77,8239.19,29.00%
Amazon,1009,10-01-2024,Q4,Karnataka,Bangalore,Shorts,3748.84,1,Online,3748.84,3464.28,284.56,8.00%
Nike Store,1034,10-01-2024,Q3,Delhi,Delhi,Sneakers,10127.23,3,Store,30381.69,21713.97,8667.72,29.00%
Ajio,1039,10-01-2024,Q4,Karnataka,Bangalore,T Shirt,7328.28,8,Store,58626.24,53242.24,5384,9.00%
Flipkart,1036,10-01-2024,Q4,Maharashtra,Mumbai,Running Shoes,2935.32,3,Online,8805.96,7096.84,1709.12,19.00%
Amazon,1000,10-01-2024,Q3,Delhi,Delhi,Shorts,11159.8,4,Store,44639.2,39546.89,5092.31,11.00%
Amazon,1013,10-01-2024,Q1,Tamil Nadu,Chennai,Jacket,4499.54,5,Store,22497.7,18534.64,3963.06,18.00%
Myntra,1022,10-01-2024,Q4,Kerala,Kochi,Jacket,5539.25,1,Online,5539.25,4498.86,1040.39,19.00%
Flipkart,1045,10-01-2024,Q2,Karnataka,Bangalore,T Shirt,10665.82,8,Online,85326.56,80506.42,4820.14,6.00%
Amazon,1005,10-01-2024,Q2,Tamil Nadu,Chennai,Jacket,7899.3,3,Online,23697.9,19225.02,4472.88,19.00%
Ajio,1015,10-01-2024,Q2,Kerala,Kochi,T Shirt,5700.71,8,Store,45605.68,42158.9,3446.78,8.00%
Myntra,1035,10-01-2024,Q2,Karnataka,Bangalore,Jacket,6450.02,6,Store,38700.12,35105.55,3594.57,9.00%
Nike Store,1040,10-01-2024,Q2,Delhi,Delhi,Sneakers,11029.57,3,Online,33088.71,25056.43,8032.28,24.00%
Myntra,1034,11-01-2024,Q4,Kerala,Kochi,T Shirt,8639.28,5,Store,43196.4,34040.63,9155.77,21.00%
Ajio,1029,11-01-2024,Q1,Karnataka,Bangalore,Running Shoes,10394.46,8,Store,83155.68,69985.76,13169.92,16.00%
Ajio,1023,11-01-2024,Q4,Karnataka,Bangalore,T Shirt,9260.18,8,Store,74081.44,63146.56,10934.88,15.00%
Myntra,1004,11-01-2024,Q4,Maharashtra,Mumbai,Jacket,10541.42,7,Online,73789.94,63608.78,10181.16,14.00%
Amazon,1032,11-01-2024,Q1,Maharashtra,Mumbai,Jacket,11783.74,1,Store,11783.74,9145.63,2638.11,22.00%
Amazon,1003,11-01-2024,Q3,Karnataka,Bangalore,Shorts,9457.15,5,Online,47285.75,36529.24,10756.51,23.00%
Amazon,1021,11-01-2024,Q1,Delhi,Delhi,T Shirt,3302.18,3,Online,9906.54,8012.42,1894.12,19.00%
