Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Cost,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
PUM656829,Men,Training,Puma Clyde All-Pro,10,21,3560,1590,10.7,66760.68,44817,Retail,Pune,33370.68
PUM171303,Men,Soccer,Puma All-Pro Nitro,13,25,17350,9310,30.2,302757.5,45245,Online,Lucknow,70007.5
PUM382652,Women,Running,Puma All-Pro Nitro W,10,,7040,2550,10.6,,44893,Retail,Hyderabad,
PUM120824,Kids,Training,Puma Anzarun Lite Jr,12,-10,4990,,6.3,,44958,Online,PUNE,
PUM604316,Men,Running,Puma Suede Classic XXI,10,,10970,4930,3.8,,,Online,hyderabad,
PUM474305,Kids,Running,Puma Suede Jr,,33,4180,1980,18.1,112972.86,45592,Retail,PUNE,47632.86
PUM243345,Men,Soccer,Puma Future Rider,4,6,6160,3030,16.8,30750.72,44838,Retail,BANGALORE,12570.72
PUM313442,Kids,Basketball,Puma Playmaker Pro Jr,10,32,5540,2920,0.9,175684.48,45477,Retail,Hyderabad,82244.48
PUM731714,Kids,Training,Puma Pacer Future Jr,6,8,6440,3780,9.6,46574.08,25-11-2022,Online,Chenai,16334.08
PUM916435,Kids,Training,Puma Smash v2 Jr,,45,8920,3350,,,15/06/2024,Online,Hyd,
PUM780797,Kids,Lifestyle,Puma Turin Jr,5,-8,17290,7120,20.8,,45505,Online,Hydrabad,
PUM757681,Women,Basketball,Puma Future Ultimate FG W,N/A,49,5140,2000,3.8,527162.33,45074,Retail,Kolkatta,429162.33
PUM500395,Women,Lifestyle,Puma Magnify Nitro 2 W,13,18,6070,2590,28.5,78120.9,45250,Retail,pune,31500.9
PUM577901,Men,Soccer,Puma Eternity Nitro 2,4,44,7030,4220,13.5,704865.67,45580,Retail,Hydrabad,519185.67
PUM631046,Women,BasketBall,Puma Future Ultimate FG W,8,22,6470,2910,1.8,-104498.1,44685,Online,Channai,-168518.1
PUM944566,Kids,Lifestyle,Puma King Match Jr FG,13,19,9440,5600,12,157836.8,23/01/2023,Retail,Hyderabad,51436.8
PUM220116,Men,Basketball,Puma Stewie 2,,31,13270,7700,44,230367.2,45217,Online,pune,-8332.8
PUM444622,Kids,Soccer,Puma Softride Rift Jr,9,36,7220,4100,11.9,228989.52,20-09-2022,Retail,Lucknow,81389.52
PUM127604,Men,Lifestyle,Puma Velocity Nitro 3,13,7,11600,5390,20.5,64554,16-10-2023,Online,bangalore,
PUM652048,Women,Train,Puma Stewie 2 Team W,13,35,0,3340,49.9,,26/09/2023,Online,Jaipur,
PUM395915,Men,Training,Puma Liberate Nitro 2,9,10,7000,2770,30.5,48650,45057,Online,Kolkatta,20950
PUM786141,Men,Lifestyle,Puma Clyde All-Pro,7,20,5970,3350,19.2,96475.2,45064,Online,hyderabad,29475.2
PUM563638,Men,Basket Ball,Puma Ultra Ultimate FG,6,19,5460,2210,12.5,90772.5,27-10-2022,Online,PUNE,48782.5
PUM755236,Kids,Training,Puma Turin Jr,10,13,9240,4460,41.5,70270.2,45292,Online,Kolkata,12290.2
PUM128296,Kids,Training,Puma Turin Jr,5,17,11820,6120,41.1,118353.66,45267,Retail,Jaipure,14313.66
PUM179802,Kids,Lifestyle,Puma Softride Rift Jr,6,20,3810,1850,18.6,62026.8,45630,Online,jaipur,25026.8
PUM533959,Women,Training,Puma Vikky v3,10,16,3740,1820,17.9,49128.64,44826,Retail,Hyderabad,-53363.41
PUM338182,Women,Lifestyle,Puma Future Ultimate FG W,5,15,4340,1520,7.2,60412.8,44866,Online,PUNE,37612.8
PUM527156,Kids,Soccer,Puma Attacanto Jr,4,48,8100,4040,11.1,345643.2,13-04-2024,Online,Jaipur,151723.2
PUM175237,Men,Training,Puma Scoot Zeros,5,6,4040,2040,35.6,15610.56,28-03-2024,Retail,Kolkatta,3370.56
PUM223047,Women,Running,Puma All-Pro Nitro W,9,30,11620,4970,47.7,182317.8,45289,Online,PUNE,33217.8
PUM834587,Men,Lifestyle,Puma Softride Premier,9,49,13950,5890,5.2,648005.4,45233,Online,Hyd,359395.4
PUM478234,Women,Soccer,Puma Stewie 2 Team W,7,12,16440,7200,7.2,183075.84,45121,Retail,MUMBAI,96675.84
PUM737866,Women,Lifestyle,Puma All-Pro Nitro W,7,6,7330,2660,22.2,34216.44,45446,Online,Bangalore,18256.44
PUM539913,Women,Training,Puma Stewie 2 Team W,8,1,14320,7750,6,13460.8,45220,Online,BANGALORE,-21264.33
PUM498197,Kids,Training,Puma Rise Jr,8,41,5610,,40.1,137775.99,45495,Online,Bangalore,
PUM779169,Women,Lifestyle,Puma Stewie 2 Team W,12,11,10420,4150,17.6,94446.88,45580,Retail,Kolkata,48796.88
PUM181159,KIDS,Lifestyle,Puma Softride Rift Jr,5,44,11900,6020,31.4,359189.6,44857,Retail,Ahemdabad,94309.6
PUM899890,Women,Training,Puma Magnify Nitro 2 W,N/A,6,6550,3200,44.8,21693.6,45030,Retail,Bengaluru,2493.6
PUM562979,Men,Running,Puma Smash v2,5,29,7950,3510,19.4,185823.3,16/03/2023,Retail,Chennai,84033.3
PUM645793,Kids,Soccer,Puma Playmaker Pro Jr,6,43,6470,3390,29.8,195303.42,45586,In-Store,lucknow,49533.42
PUM618951,Women,Training,Puma All-Pro Nitro W,9,14,12080,7250,14.8,144090.24,22-09-2024,Retail,Mumbay,42590.24
PUM559518,Women,BasketBall,Puma Run XX Nitro 2,6,16,14160,7730,12,199372.8,45520,retail,,75692.8
PUM367939,Kids,Basketball,Puma Turin Jr,5,-3,6880,3860,14.3,,15-02-2022,Online,ahmedabad,
PUM265886,Kids,Training,Puma Anzarun Lite Jr,5,25,10620,,42,153990,28-05-2024,Online,Calcutta,
PUM106454,Men,Running,Puma Ultra Ultimate FG,10,10,8090,3060,15.1,146279.16,45563,Online,Hyd,115679.16
PUM913641,Kids,Training,Puma Smash v2 Jr,4,12,6280,2300,25.4,56218.56,45338,Retail,CHENNAI,28618.56
PUM610750,Men,Run,Puma Future Ultimate FG,10,48,5870,2550,41.5,164829.6,45467,Online,Ahemdabad,152949.08
PUM437848,Men,Soccer,Puma MB.03,8,17,0,1790,2.4,,45014,Retail,mumbai,
PUM248868,Men,Basketball,Puma Orbit FG,13,34,3580,1640,9,110765.2,45419,Retail,Hydrabad,55005.2
PUM277477,Women,Lifestyle,Puma Stewie 2 Team W,13,4,7460,4110,47.6,15636.16,28/09/2024,Online,Dellhi,-803.84
PUM674151,Men,Running,Puma Stewie 2,11,37,9140,3840,1.3,333783.66,44942,Online,delhi,191703.66
PUM660992,Women,Lifestyle,Puma Fuse 2.0 W,5,6,9770,5050,27.5,42499.5,45036,Retail,Lucknow,12199.5
PUM992334,Women,Life Style,Puma Magnify Nitro 2 W,8,30,13270,4930,50,199050,,Online,Bengaluru,51150
PUM752836,Women,Basketball,Puma Magnify Nitro 2 W,10,8,6090,3550,47.4,25626.72,44598,Online,Ahemdabad,-2773.28
PUM975259,Women,Soccer,Puma Mayze Stack,5,43,16630,9660,143.9,16152.4,44780,Online,lucknow,-399227.6
PUM592789,Men,Soccer,Puma MB.03,5,20,11110,5040,17,184426,45209,Retail,MUMBAI,83626
PUM784954,Kids,Lifestyle,Puma Softride Rift Jr,10,19,17960,10610,40.7,202355.32,31-10-2022,Retail,Chenai,765.32
PUM593287,Kids,Lifestyle,Puma Pacer Future Jr,6,-6,9180,4290,42.4,,14-12-2024,Online,Ahmadabad,
PUM109534,Women,Basketball,Puma Stewie 2 Team W,5,29,6000,3120,48.8,89088,45254,Retail,Chenai,-1392
PUM490337,Men,Basketball,Puma Scoot Zeros,,10,11220,5650,49.5,56661,45570,Online,Pune,161
PUM920318,Women,Soccer,Puma Deviate Elite 3 W,4,45,8570,4400,28.9,274197.15,44742,Retail,Hyd,76197.15
PUM356305,Kids,Basketball,Puma Evolve Run Mesh Jr,10,10,6850,3440,42.4,39456,44790,Online,Bangaluru,5056
PUM845695,Kids,Basketball,Puma Turin Jr,6,44,7850,3120,27.9,249033.4,45269,Online,Kolkata,111753.4
PUM650398,Men,Basketball,Puma RS-X,12,26,11610,4910,35.7,194095.98,44569,Retail,Chennai,66435.98
PUM764488,Men,Soccer,Puma King Platinum 21,10,41,6500,3040,6.9,248111.5,28/12/2024,Online,,123471.5
PUM819701,Women,Training,Puma All-Pro Nitro W,XL,47,3820,1740,46.7,263572.7,44736,Online,Mumbay,181792.7
PUM978285,Women,Lifestyle,Puma Stewie 2 Team W,13,9,7480,2830,22.9,51903.72,44603,Online,Hyderabad,26433.72
PUM713155,Women,Basketball,Puma Magnify Nitro 2 W,5,9,9550,,22.3,66783.15,14-01-2023,Retail,Delhi,
PUM486785,Kids,Training,Puma Playmaker Pro Jr,13,46,13660,7990,11,559240.4,45238,Online,pune,191700.4
PUM639674,Women,Life Style,Puma King Pro FG W,5,37,17430,6980,8.2,592027.38,21/09/2024,Retail,PUNE,333767.38
PUM710242,Men,Training,Puma Eternity Nitro 2,9.5,20,7450,4000,2.3,145573,45096,Online,PUNE,65573
PUM277960,Men,Soccer,Puma Fuse 2.0,5,6,7630,3920,8.9,41705.58,45401,Online,Chennai,18185.58
PUM226291,Women,Training,Puma Vikky v3,12,13,8080,4460,38.3,64809.68,45452,Online,Chennai,6829.68
PUM233840,Women,Running,Puma All-Pro Nitro W,11,50,11050,6120,15.9,464652.5,44939,Retail,delhi,158652.5
PUM439078,Men,Lifestyle,Puma Deviate Elite 3,13,42,12320,5590,18.8,420161.28,,Online,Mubmai,185381.28
PUM635617,Women,Lifestyle,Puma Kyron W,9,6,8930,4740,13.4,46400.28,45399,Online,LUCKNOW,17960.28
PUM340826,Kids,Lifestyle,Puma Suede Jr,9.5,49,5560,2230,27.6,197246.56,25/12/2024,Online,ahmedabad,87976.56
PUM637531,Men,Soccer,Puma Smash v2,10,15,3110,1540,14.8,39745.8,45214,Retail,JAIPUR,16645.8
PUM508879,Kids,Training,Puma Turin Jr,12,35,9420,4810,-4.8,345525.6,45095,Online,Hyd,177175.6
PUM959761,Men,Training,Puma Velocity Nitro 3,12,40,13230,,20.6,1085458.81,44715,Retail,LUCKNOW,
PUM791381,Kids,Basketball,Puma Attacanto Jr,4,17,9010,3990,28.3,109822.89,45296,Retail,pune,
PUM404103,Women,Train,Puma Stewie 2 Team W,??,28,6640,3940,46,100396.8,16-03-2023,Retail,PUNE,-9923.2
PUM270443,Kids,Training,Puma Suede Jr,6,46,17000,8350,42.5,449650,44764,Retail,CHENNAI,65550
PUM780301,Kids,Soccer,Puma Future 7 Play FG Jr,13,39,14830,,49.6,291498.48,24-02-2022,Online,Lucnow,
PUM302318,Kids,Soccer,Puma King Match Jr FG,5,46,4430,1950,47.1,107799.62,45474,Online,Ahemdabad,18099.62
PUM396609,Women,Basket Ball,Puma Future Ultimate FG W,8,25,,4010,28,,14-09-2024,Retail,Chennai,
PUM696600,Women,running,Puma Vikky v3,6,20,4150,1710,29.7,58349,45277,Online,JAIPUR,24149
PUM329580,Women,Lifestyle,Puma Stewie 2 Team W,12,31,11700,4950,24.6,273475.8,45148,Online,Dehli,120025.8
PUM297576,Women,RUNNING,Puma Deviate Elite 3 W,4,19,3360,1840,7,59371.2,,Online,Ahmedabad,24411.2
PUM241888,Women,Soccer,Puma Mayze Stack,12,35,9400,3870,8.3,301693,,Online,Pune,166243
PUM370211,Men,Training,Puma Softride Premier,12,38,7260,3420,46,-25129.47,45494,Retail,Chenai,-155089.47
PUM221364,Kids,Running,Puma Pacer Future Jr,7,8,,990,46.5,,45581,Retail,,
PUM865094,Men,running,Puma Fuse 2.0,13,48,7960,3560,10.3,342725.76,45551,Retail,PUNE,171845.76
PUM587426,Women,Soccer,Puma Velocity Nitro 3 W,5,26,8870,4470,35.3,149211.14,23/11/2023,Retail,PUNE,32991.14
PUM791288,Women,Basketball,Puma Cali Dream,13,12,13060,7610,8.3,143712.24,45094,Retail,Mubmai,52392.24
PUM205742,Kids,Basketball,Puma Pacer Future Jr,,29,3530,0,14.6,87423.98,45527,Online,Chenai,
PUM178702,Women,Running,Puma King Pro FG W,10,35,4580,2230,5.1,152124.7,21/02/2023,Retail,LUCKNOW,74074.7
,Kids,,Puma Pacer Future Jr,6,9,17200,8470,29.8,108669.6,44629,Online,,32439.6
PUM311020,men,Training,Puma Magnify Nitro 2,7,10,8800,4570,28.9,62568,45448,Retail,Ahmadabad,16868
PUM333349,Men,Basketball,Puma Orbit FG,8,47,11760,6170,39.8,332737.44,45612,Online,BANGALORE,42747.44
PUM961760,Kids,training,Puma Smash v2 Jr,11,30,,1210,49.6,,,Online,,
PUM180920,Women,Running,Puma Softride Ruby W,13,11,12760,6880,4.6,,44874,Retail,Ahemdabad,
PUM721984,Kids,Basketball,Puma Softride Rift Jr,11,5,5250,1970,15,22312.5,44943,Online,DELHI,12462.5
PUM100068,Women,Basketball,Puma ForeverRun Nitro,12,27,11640,6680,6.2,294794.64,44714,Online,Pune,
PUM863587,Men,training,Puma Ultra Ultimate FG,10,14,8870,3760,-0.5,124800.9,45340,Retail,pune,72160.9
PUM702327,Women,Basketball,Puma Future Ultimate FG W,11,49,11890,5910,,,44673,Online,ahmedabad,
PUM408538,Kids,Training,Puma Smash v2 Jr,8,18,3550,2110,16.3,53484.3,44893,Online,Channai,15504.3
PUM687132,Women,Basket Ball,Puma Softride Ruby W,7,4,16130,6130,35.1,41873.48,26/02/2022,Retail,LUCKNOW,17353.48
PUM131127,Kids,Running,Puma Turin Jr,6,5,11790,5590,2.8,57299.4,45328,Online,Kolkata,29349.4
PUM981031,Men,Basketball,Puma King Platinum 21,7,10,14500,0,35.7,93235,45379,Retail,Kolkata,
PUM430424,Women,Training,Puma Suede Mayu W,4,34,14430,6730,42.2,283578.36,27/11/2024,Online,pune,54758.36
PUM723819,Women,Basketball,Puma King Pro FG W,N/A,47,16410,5770,11.6,681802.68,44680,Online,Ahmedabad,410612.68
PUM502833,Men,Running,Puma Softride Premier,11,10,5300,3040,35,34450,44835,Online,PUNE,-12699.35
PUM538560,Kids,Soccer,Puma Pacer Future Jr,8,26,8150,3410,-4,220376,45395,Online,bangalore,131716
PUM420344,Men,Lifestyle,Puma King Platinum 21,4,11,6090,3050,42.8,38318.28,45630,Retail,BANGALORE,4768.28
PUM322409,Female,Basketball,Puma Mayze Stack,6,30,16910,6180,11.1,450989.7,23/05/2024,Retail,Jaipure,265589.7
PUM313051,Kids,Running,Puma Suede Jr,XL,22,17190,9990,36.2,241278.84,45078,Online,bangalore,21498.84
PUM374559,Women,Soccer,Puma Fuse 2.0 W,10,31,9200,3680,26.3,210192.4,45238,Retail,Kolkata,96112.4
PUM536626,Kids,Lifestyle,Puma Turin Jr,5,,3750,1580,23.6,,44694,Online,mumbai,
PUM650858,Men,Basketball,Puma Future Ultimate FG,13,25,10630,4190,40.3,158652.75,19/10/2024,Online,Dellhi,53902.75
PUM536416,Kids,Lifestyle,Puma Pacer Future Jr,10,-1,12900,,10.1,,45505,Retail,PUNE,
PUM673209,Men,Soccer,Puma Ultra Ultimate FG,5,5,17190,6450,6.8,80105.4,30/08/2023,Retail,jaipur,47855.4
PUM480941,Women,Basketball,Puma Stewie 2 Team W,7,47,,3080,38.5,,45121,Retail,Kolkata,
PUM885438,Women,Soccer,Puma ForeverRun Nitro,11,21,13570,7150,44.3,158728.29,44695,Retail,Pune,8578.29
PUM923503,Kids,Basketball,Puma Softride Rift Jr,8,32,8920,4970,28.9,202947.84,45117,Online,Pune,43907.84
PUM141820,Men,Soccer,Puma Softride Premier,7,6,17790,9360,32.7,71836.02,44654,Retail,MUMBAI,15676.02
PUM702427,Kids,Basketball,Puma King Match Jr FG,8,36,4420,2020,33.1,106451.28,44715,Online,Ahmedabad,33731.28
PUM898977,Kids,Soccer,Puma Softride Enzo Neo Jr,,25,11030,5090,23.3,211500.25,20/04/2023,Retail,Jaipur,84250.25
PUM477819,Men,Soccer,Puma Retaliate 2,11,27,11090,5470,14.9,254814.93,28/12/2022,Retail,bangalore,107124.93
PUM902257,Kids,Run,Puma Rise Jr,4,-9,6050,3070,12.9,,44566,Retail,Bangaluru,
PUM149161,Kids,Soccer,Puma Softride Rift Jr,6,27,4770,2360,5,,45215,Online,Chennai,
PUM262520,Women,Training,Puma King Pro FG W,12,39,5810,3310,2.5,220925.25,44806,Retail,Chennai,91835.25
PUM875626,Women,Running,Puma Magnify Nitro 2 W,11,50,4890,2500,10.6,218583,22-12-2022,Retail,Hyd,-319973.27
PUM424150,Women,Basketball,Puma Ella W,13,4,6200,3260,41.2,14582.4,44765,Online,jaipur,1542.4
PUM236495,Kids,Soccer,Puma Softride Enzo Neo Jr,6,45,3190,0,39,87565.5,19-07-2022,Online,jaipur,
PUM945783,Women,Training,Puma Mayze Stack,4,1,12520,6610,13.8,10792.24,14-10-2024,Retail,Jaipur,4182.24
PUM416772,Kids,Soccer,Puma Pacer Future Jr,6,20,10740,4500,13.8,185157.6,44774,Retail,Bangalore,95157.6
PUM203050,Women,Soccer,Puma Stewie 2 Team W,6,19,7730,2770,28.6,104865.18,28-05-2022,Retail,Jaipure,52235.18
PUM710623,Kids,TRAINING,Puma Softride Rift Jr,11,47,16440,8550,4.5,737909.4,45180,Retail,Mubmai,336059.4
PUM296919,Women,Running,Puma Magnify Nitro 2 W,8,31,11010,4900,2.7,332094.63,44565,Retail,PUNE,180194.63
PUM928404,Women,Training,Puma Retaliate 2 W,7,4,,3930,38.2,,44819,Online,Chenai,
PUM523257,Kids,Basketball,Puma Smash v2 Jr,4,1,8300,2940,,,44941,Online,Jaipur,
PUM789808,Men,Soccer,Puma Smash v2,10.5,19,9000,4130,6.7,159543,45211,Online,pune,81073
PUM414831,Women,Running,Puma Stewie 2 Team W,12,42,10630,5770,29.7,521691.03,45470,Retail,Lucknow,279351.03
PUM532592,Kids,Soccer,Puma Softride Enzo Neo Jr,4,,3710,1880,20.9,,45643,Online,Chenai,
PUM925061,Kids,Running,Puma Softride Rift Jr,8,46,4120,2380,24,144035.2,30-09-2023,Retail,Mubmai,34555.2
PUM739230,Men,Training,Puma Deviate Elite 3,9,19,4700,2670,18,73226,45106,Online,Ahemdabad,22496
PUM914793,Women,Soccer,Puma All-Pro Nitro W,6,24,7740,4570,19.3,149908.32,45317,Online,lucknow,40228.32
PUM123960,Women,Lifestyle,Puma Ella W,12,12,16690,9440,36.4,127378.08,19-01-2023,Online,Mubmai,14098.08
PUM678388,Kids,Soccer,Puma Turin Jr,??,15,13380,6430,4.8,191066.4,,Retail,Delhi,94616.4
PUM287170,Men,Basketball,Puma Smash v2,11,32,3440,1410,2.5,107328,21/02/2023,Online,Kolkata,
PUM772501,Men,Training,Puma All-Pro Nitro,7,,3250,1810,48.2,,44809,Online,jaipur,
PUM770025,Women,Running,Puma Stewie 2 Team W,4,31,6590,2470,0.1,204085.71,16-11-2023,Retail,Pune,127515.71
PUM169315,Women,Lifestyle,Puma All-Pro Nitro W,7.5,26,8770,3810,2.3,222775.54,44697,Retail,Bengaluru,123715.54
PUM432427,Women,Basketball,Puma Future Ultimate FG W,5,31,14940,7810,40.8,,45557,Online,Channai,
PUM718728,Women,RUNNING,Puma Fuse 2.0 W,13,39,9860,5180,35.6,247643.76,44953,Retail,Hyderabad,45623.76
PUM489518,Children,Soccer,Puma Anzarun Lite Jr,10,8,13430,7870,33.7,71232.72,44748,Online,mumbai,-17481.99
PUM946317,Women,Soccer,Puma Kyron W,6,19,8100,3750,33.8,101881.8,45626,Online,PUNE,30631.8
,Kids,,Puma Pacer Future Jr,6,36,14410,8170,22.2,403595.28,16-05-2022,Retail,,109475.28
PUM846172,Kids,Training,Puma Softride Rift Jr,4,8,11430,4370,12.8,79735.68,45411,Online,MUMBAI,44775.68
PUM119393,Women,Running,Puma Fuse 2.0 W,7,12,10180,4950,17.5,100782,44964,Retail,Kolkatta,41382
PUM511223,Kids,Soccer,Puma Playmaker Pro Jr,10,40,4560,2030,5.7,172003.2,23-12-2022,Retail,Chenai,90803.2
PUM214643,Men,Soccer,Puma Smash v2,10,50,3560,1840,43.2,101104,20/07/2023,Retail,Hyderabad,9104
PUM234024,Kids,Basketball,Puma Softride Rift Jr,13,12,13370,5440,19.4,129314.64,45532,Online,Channai,-223602.69
PUM673009,Kids,Basketball,Puma Softride Enzo Neo Jr,9,20,7940,3540,1.5,156418,44834,Retail,mumbai,85618
PUM363934,Women,Lifestyle,Puma Future Ultimate FG W,8,3,,2920,15.2,,44950,Retail,Ahmadabad,
PUM686072,Men,Basketball,Puma Magnify Nitro 2,8,43,17780,10370,23.1,587931.26,45517,Retail,Ahmedabad,142021.26
PUM873111,Kids,Running,Puma Anzarun Lite Jr,8,21,6290,3290,28.3,94708.53,45265,Online,Channai,25618.53
PUM499707,Kids,Training,Puma Pacer Future Jr,6,30,8420,3180,4.1,242243.4,45270,Online,Pune,146843.4
PUM971493,Kids,Lifestyle,Puma Rise Jr,,3,9290,4350,18.3,22769.79,45144,ONLINE,Pune,9719.79
PUM250219,Kids,Training,Puma Pacer Future Jr,7,29,9580,5440,36.6,176137.88,44986,Online,Mumbay,18377.88
PUM529954,Women,lifestyle,Puma King Pro FG W,9,-5,14610,6110,28.9,,24/05/2023,Online,ahmedabad,
PUM526037,Kids,Lifestyle,Puma Pacer Future Jr,,23,8530,4060,8.3,-64140.71,45000,Online,Ahmadabad,-157520.71
PUM898977,Men,Lifestyle,Puma Liberate Nitro 2,12,38,8830,,130.8,-103346.32,45415,Online,Lucknow,
PUM454101,Kids,Running,Puma Attacanto Jr,9,6,10080,4740,20.5,48081.6,,In-Store,Jaipure,19641.6
PUM830553,Male,Training,Puma RS-X,5,13,9370,5220,8.9,110968.91,45329,Online,DELHI,43108.91
PUM350647,Kids,Soccer,Puma Playmaker Pro Jr,4,-2,14230,7720,40.2,,45302,Retail,CHENNAI,
PUM221746,Men,training,Puma Suede Classic XXI,6,46,5110,2450,10.3,210848.82,44936,Retail,Hydrabad,98148.82
PUM749943,Women,Training,Puma Stewie 2 Team W,N/A,14,8490,3760,12.7,103764.78,44836,Retail,Ahmedabad,51124.78
PUM252588,Women,Lifestyle,Puma Mayze Stack,9,36,7790,3480,40.2,167703.12,45370,Retail,Ahmadabad,
PUM197898,Women,Basketball,Puma Vikky v3,4,39,14830,7020,,,45017,Online,Ahemdabad,
PUM424143,Women,Training,Puma Future Ultimate FG W,13,6,12250,5500,25.9,54463.5,45113,Online,Pune,21463.5
PUM554524,Men,Lifestyle,Puma Softride Premier,7,27,8250,3590,25.7,165503.25,20/04/2023,Retail,kolkata,68573.25
PUM456043,Women,Run,Puma All-Pro Nitro W,,5,10200,5360,20.6,40494,44878,Retail,Dellhi,13694
PUM603335,Kids,Lifestyle,Puma Softride Rift Jr,11,18,9840,3910,11.7,156396.96,45090,Online,pune,86016.96
PUM822505,KIDS,Training,Puma Smash v2 Jr,11,,17410,7710,44.9,,45000,Online,Chennai,
PUM318705,Women,Lifestyle,Puma Future Ultimate FG W,4,35,0,4370,22.9,,44751,Retail,Jaipure,
PUM555667,Men,Basketball,Puma Better Foam Prowl,9,36,4890,2130,21.2,138719.52,44864,Online,bangalore,62039.52
PUM430102,Kids,Run,Puma Turin Jr,7,10,16080,5670,6.7,150026.4,19-07-2024,Retail,,93326.4
PUM969140,Kids,Soccer,Puma King Match Jr FG,13,17,10370,4500,28,126928.8,45040,Retail,Hyd,50428.8
PUM199033,Women,Lifestyle,Puma Ella W,12,48,3480,1620,43.4,94544.64,45577,Online,Hyderabad,-45104.54
PUM967878,Men,Running,Puma Liberate Nitro 2,9,29,11480,5510,8.4,304954.72,45268,Online,Hyderabad,145164.72
PUM472788,Women,Life Style,Puma Magnify Nitro 2 W,7,,8350,3470,32.7,,,Retail,LUCKNOW,
PUM358075,Men,Basketball,Puma Fuse 2.0,9,21,12010,7010,6.8,235059.72,22/11/2022,Online,Lucnow,87849.72
PUM668267,Men,Training,Puma Eternity Nitro 2,12,20,5750,2010,42.4,66240,45318,Retail,MUMBAI,26040
PUM184208,Women,Basketball,Puma Mayze Stack,5,36,5620,2870,11,-67466.14,45638,Online,Chennai,-170786.14
PUM597529,Men,Basketball,Puma Scoot Zeros,13,18,10890,4230,1.1,193863.78,45058,Retail,MUMBAI,117723.78
PUM207334,Men,Basketball,Puma Scoot Zeros,13,24,8540,4790,2.8,199221.12,44566,Online,Mumbay,84261.12
PUM891634,Women,Basketball,Puma Softride Ruby W,,3,14290,7380,19.5,34510.35,45272,Retail,Ahmadabad,12370.35
PUM450067,Kids,basketball,Puma King Match Jr FG,12,16,6260,2620,39.5,94712.2,44993,Retail,Channai,52792.2
PUM648701,Kids,Lifestyle,Puma Rise Jr,12,7,4630,2530,40.3,19348.77,45240,Retail,Dehli,1638.77
PUM637196,Men,lifestyle,Puma Smash v2,7,35,8130,4540,27.7,-173836.31,16-11-2023,Retail,ahmedabad,-332736.31
PUM100769,Kids,Training,Puma Pacer Future Jr,4,35,6660,3610,14.2,199999.8,44856,Online,bangalore,73649.8
PUM858133,Men,Training,Puma Velocity Nitro 3,10,25,11360,4700,30.3,-13814.59,25-04-2022,Retail,Mubmai,-131314.59
PUM992126,Women,Running,Puma Deviate Elite 3 W,6,47,5130,3030,36.3,153587.07,45510,Retail,Hydrabad,11177.07
PUM204198,Women,Lifestyle,Puma All-Pro Nitro W,4,28,4170,1880,7.9,107535.96,45398,Online,Channai,54895.96
PUM753842,Kids,Lifestyle,Puma King Match Jr FG,13,50,8210,3800,0,790919.9,45265,Online,Mumbai,600919.9
