Order_ID,Units_Sold,Discount_Applied,Product_Name,Region,Gender_Category,Product_Line,MRP,Cost,Order_Date,Sales_Channel,Revenue,Profit,Size_Label
PUM454101,6,20.5,Puma Attacanto Jr,Jaipur,Kids,Running,10080,4740,,In-Store,48081.6,19641.6,L
PUM358075,21,6.8,Puma Fuse 2.0,Lucknow,Men,Basketball,12010,7010,,Online,235059.72,87849.72,L
PUM858133,25,30.3,Puma Velocity Nitro 3,Mumbai,Men,Training,11360,4700,,In-Store,197948,80448,L
PUM577867,45,0,Puma King Match Jr FG,Kolkata,Kids,Running,12740,6500,,In-Store,573300,280800,L
PUM941486,2,49.9,Puma Softride Enzo Neo Jr,Mumbai,Kids,Running,9900,3840,,In-Store,9919.8,2239.8,L
PUM541685,28,8.5,Puma Softride Rift Jr,Ahmedabad,Kids,Basketball,5120,2630,,In-Store,131174.4,57534.4,L
PUM370921,43,13.6,Puma Smash v2,Pune,Men,Soccer,5690,2280,,Online,211394.88,113354.88,L
PUM203442,21,28,Puma Suede Jr,Pune,Kids,Training,12360,4940,,Online,186883.2,83143.2,L
PUM839730,17,14,Puma Stewie 2 Team W,Mumbai,Women,Basketball,11070,3960,,Online,161843.4,94523.4,L
PUM435155,38,8.9,Puma Retaliate 2,Mumbai,Men,Basketball,7870,3570,,Online,272443.66,136783.66,L
PUM802173,35,2.4,Puma Future Ultimate FG,Delhi,Men,Training,6240,3630,,In-Store,213158.4,86108.4,L
PUM344599,29,4.3,Puma Clyde All-Pro,Jaipur,Men,Soccer,2860,1040,,In-Store,79373.58,49213.58,L
PUM554392,44,46.8,Puma Suede Jr,Mumbai,Kids,Basketball,5100,2650,,In-Store,119380.8,2780.8,L
PUM714224,37,28.8,Puma Liberate Nitro 2,Pune,Men,Basketball,11640,4860,,In-Store,306644.16,126824.16,L
PUM401663,37,0,Puma Stewie 2 Team W,Mumbai,Women,Training,14900,6340,,In-Store,551300,316720,L
PUM506773,42,6.3,Puma Magnify Nitro 2,Ahmedabad,Men,Lifestyle,7970,4370,,Online,313651.38,130111.38,L
PUM483583,5,2.2,Puma Softride Enzo Neo Jr,Pune,Kids,Running,6040,3330,,Online,29535.6,12885.6,L
PUM935922,45,4,Puma Attacanto FG,Chennai,Men,Basketball,17170,9840,,In-Store,741744,298944,L
PUM969307,48,36.4,Puma Fuse 2.0 W,Hyderabad,Women,Training,19230,7500,,In-Store,587053.44,227053.44,L
PUM179167,18,47.5,Puma Deviate Elite 3 W,Ahmedabad,Women,Soccer,8610,3780,,In-Store,81364.5,13324.5,L
PUM359338,5,20.1,Puma Anzarun Lite Jr,Jaipur,Kids,Training,8050,2910,,In-Store,32159.75,17609.75,L
PUM153595,45,19.4,Puma Softride Ruby W,Chennai,Women,Training,15370,8710,,Online,557469.9,165519.9,L
PUM238160,17,18.4,Puma MB.03,Delhi,Men,Lifestyle,9910,4170,,In-Store,137471.52,66581.52,L
PUM677712,14,7.3,Puma Ultra Ultimate FG,Kolkata,Men,Basketball,5910,2690,,In-Store,76699.98,39039.98,L
PUM291423,46,0.3,Puma Anzarun Lite Jr,Mumbai,Kids,Lifestyle,7180,3510,,Online,329289.16,167829.16,L
PUM403244,32,24.6,Puma Future Ultimate FG W,Pune,Women,Lifestyle,0,3690,,Online,0,-118080,L
PUM279388,1,33.8,Puma Playmaker Pro Jr,Delhi,Kids,Soccer,13560,5010,,In-Store,8976.72,3966.72,L
PUM519093,6,0.3,Puma Softride Rift Jr,Mumbai,Kids,Lifestyle,7230,2720,,Online,43249.86,26929.86,L
PUM176263,13,44,Puma Rise Jr,Jaipur,Kids,Basketball,3550,1590,,Online,25844,5174,L
PUM672934,34,31.8,Puma Deviate Elite 3,Chennai,Men,Training,11830,6720,,Online,274314.04,45834.04,L
PUM307897,21,13.7,Puma Future 7 Play FG Jr,Lucknow,Kids,Lifestyle,19180,11410,,In-Store,347599.14,107989.14,L
PUM921268,22,29.6,Puma Clyde All-Pro,Banglore,Men,Running,3850,0,,In-Store,59628.8,59628.8,L
PUM778749,35,21.7,Puma Rise Jr,Delhi,Kids,Training,6960,3580,,In-Store,190738.8,65438.8,L
PUM822877,3,1.8,Puma Attacanto FG,Unknown,Men,Training,5080,2490,,Online,14965.68,7495.68,L
PUM697666,23,0,Puma Future 7 Play FG Jr,Mumbai,Kids,Lifestyle,8880,4580,,Online,204240,98900,L
PUM334977,33,39.6,Puma Ultra Ultimate FG,Chennai,Men,Training,8190,3140,,Online,163243.08,59623.08,L
PUM977321,0,38.9,Puma Eternity Nitro 2,Banglore,Men,Soccer,9030,4830,,In-Store,0,0,L
PUM820047,40,43.8,Puma Stewie 2,Jaipur,Men,Soccer,5620,2680,,Online,126337.6,19137.6,L
PUM638494,27,24.5,Puma Liberate Nitro 2,Ahmedabad,Men,Lifestyle,13360,5480,,In-Store,272343.6,124383.6,L
PUM550348,20,41.3,Puma Clyde All-Pro,Kolkata,Men,Soccer,3450,1600,,Online,40503,8503,L
PUM395087,46,5.7,Puma Future Rider,Chennai,Men,Basketball,0,990,,Online,0,-45540,L
PUM978053,33,19,Puma All-Pro Nitro W,Lucknow,Women,Soccer,9270,4100,,Online,247787.1,112487.1,L
PUM624941,29,5.7,Puma Pacer Future Jr,Kolkata,Kids,Basketball,9130,4260,,In-Store,249678.11,126138.11,L
PUM984274,34,15.6,Puma All-Pro Nitro,Ahmedabad,Men,Basketball,6970,3780,,In-Store,200011.12,71491.12,L
PUM525750,10,26.1,Puma Stewie 2 Team W,Hyderabad,Women,Running,4520,2220,,In-Store,33402.8,11202.8,L
PUM347498,9,28.2,Puma Vikky v3,Pune,Women,Training,12840,5990,,Online,82972.08,29062.08,L
PUM943706,27,49.9,Puma Kyron W,Kolkata,Women,Running,8910,3430,,Online,120525.57,27915.57,L
PUM593002,41,11.4,Puma All-Pro Nitro,Jaipur,Men,Basketball,13000,7100,,Online,472238,181138,L
PUM191884,20,28.6,Puma Pacer Future Jr,Hyderabad,Kids,Soccer,9130,3880,,Online,130376.4,52776.4,L
PUM671632,27,21.9,Puma Retaliate 2 W,Kolkata,Women,Lifestyle,16240,8010,,Online,342452.88,126182.88,L
PUM694488,15,41.1,Puma Clyde All-Pro,Delhi,Men,Basketball,12100,6210,,In-Store,106903.5,13753.5,L
PUM507121,8,27.7,Puma Suede Classic XXI,Jaipur,Men,Basketball,9560,4180,,In-Store,55295.04,21855.04,L
PUM516045,11,32.3,Puma Retaliate 2,Chennai,Men,Soccer,12590,5170,,Online,93757.73,36887.73,L
PUM733941,46,45.6,Puma Future 7 Play FG Jr,Lucknow,Kids,Training,7140,2660,,Online,178671.36,56311.36,L
PUM707407,3,2.2,Puma Stewie 2 Team W,Lucknow,Women,Running,12550,6800,,In-Store,36821.7,16421.7,L
PUM718753,15,3.1,Puma Orbit FG,Lucknow,Men,Soccer,0,0,,In-Store,0,0,L
PUM580778,50,33,Puma Future Ultimate FG W,Hyderabad,Women,Basketball,11180,4860,,Online,374530,131530,L
PUM569989,18,22.2,Puma Pacer Future Jr,Kolkata,Kids,Basketball,13800,7120,,Online,193255.2,65095.2,L
PUM132663,11,1.2,Puma Turin Jr,Jaipur,Kids,Soccer,7540,4490,,Online,81944.72,32554.72,L
PUM463737,34,4.1,Puma All-Pro Nitro W,Chennai,Women,Running,13990,6160,,Online,456157.94,246717.94,L
PUM524707,8,21.9,Puma Softride Rift Jr,Unknown,Kids,Lifestyle,7090,4160,,Online,44298.32,11018.32,L
PUM328552,49,0,Puma Softride Rift Jr,Mumbai,Kids,Basketball,5330,3140,,In-Store,261170,107310,L
PUM163413,36,12.8,Puma ForeverRun Nitro,Kolkata,Women,Running,3950,1600,,Online,123998.4,66398.4,L
PUM598560,4,25.4,Puma Smash v2,Lucknow,Men,Training,9240,3530,,In-Store,27572.16,13452.16,L
PUM703027,27,36.5,Puma Run XX Nitro 2,Delhi,Women,Basketball,8830,0,,In-Store,151390.35,151390.35,L
PUM344717,48,2.6,Puma Rise Jr,Lucknow,Kids,Soccer,14410,5960,,Online,673696.32,387616.32,L
PUM423697,38,21,Puma Scoot Zeros,Jaipur,Men,Lifestyle,6920,3410,,Online,207738.4,78158.4,L
PUM756529,46,6.5,Puma Softride Premier,Ahmedabad,Men,Running,16400,8870,,Online,705364,297344,L
PUM746403,38,7,Puma Mayze Stack,Kolkata,Women,Running,0,4390,,In-Store,0,-166820,L
PUM607348,13,0,Puma Deviate Elite 3 W,Banglore,Women,Training,11310,4720,,In-Store,147030,85670,L
PUM356628,8,37.9,Puma Stewie 2 Team W,Jaipur,Women,Basketball,11330,5680,,Online,56287.44,10847.44,L
PUM250544,16,43.4,Puma Softride Premier,Delhi,Men,Training,10960,6100,,In-Store,99253.76,1653.76,L
PUM908085,30,40.9,Puma King Pro FG W,Kolkata,Women,Soccer,9370,3780,,In-Store,166130.1,52730.1,L
PUM980762,17,25.2,Puma King Platinum 21,Mumbai,Men,Training,7660,3990,,In-Store,97404.56,29574.56,L
PUM623083,27,4.8,Puma Velocity Nitro 3 W,Lucknow,Women,Basketball,5580,2270,,In-Store,143428.32,82138.32,L
PUM531651,3,10.5,Puma All-Pro Nitro W,Banglore,Women,Training,4740,2560,,Online,12726.9,5046.9,L
PUM941693,34,33,Puma Vikky v3,Pune,Women,Basketball,8330,4950,,Online,189757.4,21457.4,L
PUM255457,25,46.4,Puma Fuse 2.0,Delhi,Men,Training,5020,2050,,In-Store,67268,16018,L
PUM154040,21,37.4,Puma Future 7 Play FG Jr,Mumbai,Kids,Basketball,3970,1680,,In-Store,52189.62,16909.62,L
PUM743453,20,28.4,Puma All-Pro Nitro W,Chennai,Women,Running,5290,2920,,In-Store,75752.8,17352.8,L
PUM358107,33,14.7,Puma Fuse 2.0 W,Lucknow,Women,Soccer,3680,1310,,In-Store,103588.32,60358.32,L
PUM191360,1,9.2,Puma Attacanto FG,Lucknow,Men,Running,8190,3390,,In-Store,7436.52,4046.52,L
PUM177959,41,35.7,Puma Ella W,Kolkata,Women,Basketball,4580,2720,,Online,120742.54,9222.54,L
PUM841076,30,5.9,Puma Retaliate 2,Jaipur,Men,Soccer,4930,2680,,Online,139173.9,58773.9,L
PUM782146,45,21.2,Puma Cali Dream,Banglore,Women,Basketball,12270,5380,,In-Store,435094.2,192994.2,L
PUM257002,50,49,Puma Run XX Nitro 2,Chennai,Women,Soccer,6800,2830,,Online,173400,31900,L
PUM605122,4,33.5,Puma Suede Jr,Hyderabad,Kids,Training,6020,3350,,Online,16013.2,2613.2,L
PUM950472,4,5.1,Puma Future Rider,Delhi,Men,Lifestyle,8880,4130,,Online,33708.48,17188.48,L
PUM250343,20,26.9,Puma Ultra Ultimate FG,Delhi,Men,Lifestyle,3800,1830,,Online,55556,18956,L
PUM470329,34,20,Puma Softride Enzo Neo Jr,Jaipur,Kids,Soccer,11710,5270,,In-Store,318512,139332,L
PUM420030,43,41.8,Puma Rise Jr,Hyderabad,Kids,Basketball,12580,5430,,Online,314827.08,81337.08,L
PUM116495,6,18.3,Puma Stewie 2,Banglore,Men,Basketball,7620,3180,,Online,37353.24,18273.24,L
PUM225933,0,17.2,Puma Evolve Run Mesh Jr,Chennai,Kids,Basketball,13920,7130,,In-Store,0,0,L
PUM674825,45,2.6,Puma RS-X,Mumbai,Men,Training,4500,1700,,In-Store,197235,120735,L
PUM284514,16,42.1,Puma Deviate Elite 3,Lucknow,Men,Lifestyle,0,0,,Online,0,0,L
PUM606874,37,21.6,Puma Mayze Stack,Delhi,Women,Soccer,8760,4610,,In-Store,254110.08,83540.08,L
PUM742078,40,0,Puma Stewie 2 Team W,Kolkata,Women,Lifestyle,19370,10690,,In-Store,774800,347200,L
PUM295937,28,42.3,Puma Pacer Future Jr,Pune,Kids,Lifestyle,2530,1510,,Online,40874.68,-1405.32,L
PUM332065,8,29.4,Puma Future Ultimate FG W,Jaipur,Women,Soccer,14590,5380,,In-Store,82404.32,39364.32,L
PUM746698,33,46.6,Puma King Match Jr FG,Jaipur,Kids,Basketball,9520,5230,,Online,167761.44,-4828.56,L
PUM103065,36,23.4,Puma Stewie 2 Team W,Hyderabad,Women,Running,3670,2150,,Online,101203.92,23803.92,L
PUM615499,0,21.5,Puma King Match Jr FG,Hyderabad,Kids,Training,9240,3360,,Online,0,0,L
PUM838082,31,22.6,Puma Fuse 2.0 W,Kolkata,Women,Soccer,12990,6540,,In-Store,311682.06,108942.06,L
PUM812711,38,40,Puma King Pro FG W,Kolkata,Women,Basketball,15790,7050,,In-Store,360012,92112,L
PUM864541,31,24.8,Puma Stewie 2,Jaipur,Men,Basketball,8420,2970,,In-Store,196287.04,104217.04,L
PUM363443,5,36.6,Puma Future 7 Play FG Jr,Lucknow,Kids,Lifestyle,12730,5920,,Online,40354.1,10754.1,L
PUM465384,20,32,Puma Retaliate 2 W,Kolkata,Women,Running,3210,0,,Online,43656,43656,L
PUM482788,25,26.7,Puma MB.03,Banglore,Men,Training,4360,2160,,In-Store,79897,25897,L
PUM253750,27,0,Puma Pacer Future Jr,Banglore,Kids,Soccer,6500,3360,,Online,175500,84780,L
PUM931171,45,10.8,Puma Suede Jr,Banglore,Kids,Basketball,9690,5490,,In-Store,388956.6,141906.6,L
PUM830524,44,45.3,Puma Rise Jr,Delhi,Kids,Lifestyle,15870,0,,Online,381959.16,381959.16,L
PUM223179,0,32.9,Puma Softride Enzo Neo Jr,Lucknow,Kids,Training,9160,5490,,Online,0,0,L
PUM276967,46,48.5,Puma Pacer Future Jr,Mumbai,Kids,Running,5890,2820,,Online,139534.1,9814.1,L
PUM237405,45,31.2,Puma Attacanto Jr,Banglore,Kids,Lifestyle,3310,1940,,In-Store,102477.6,15177.6,L
PUM988223,50,21.3,Puma Smash v2,Ahmedabad,Men,Running,4130,1620,,Online,162515.5,81515.5,L
PUM549528,26,48.8,Puma All-Pro Nitro W,Kolkata,Women,Lifestyle,6390,2360,,In-Store,85063.68,23703.68,L
PUM520974,18,0,Puma Playmaker Pro Jr,Delhi,Kids,Lifestyle,9900,3950,,Online,178200,107100,L
PUM288177,6,17.2,Puma Vikky v3,Jaipur,Women,Running,8540,4410,,Online,42426.72,15966.72,L
PUM981980,11,9.8,Puma Softride Ruby W,Chennai,Women,Basketball,5510,0,,In-Store,54670.22,54670.22,L
PUM425496,17,19.5,Puma Softride Rift Jr,Mumbai,Kids,Basketball,9880,4980,,Online,135207.8,50547.8,L
PUM884645,47,11.7,Puma Scoot Zeros,Jaipur,Men,Lifestyle,17140,9910,,Online,711327.14,245557.14,L
PUM866439,40,26.9,Puma Velocity Nitro 3,Mumbai,Men,Soccer,10840,4970,,Online,316961.6,118161.6,L
PUM564009,7,18.8,Puma Run XX Nitro 2,Hyderabad,Women,Soccer,9100,4160,,In-Store,51724.4,22604.4,L
PUM294160,36,6.7,Puma Magnify Nitro 2,Mumbai,Men,Soccer,11350,0,,Online,381223.8,381223.8,L
PUM959200,16,17,Puma King Pro FG W,Chennai,Women,Running,9880,4580,,Online,131206.4,57926.4,L
PUM827266,21,26.6,Puma Ultra Ultimate FG,Hyderabad,Men,Soccer,5110,2170,,In-Store,78765.54,33195.54,L
PUM685493,0,49.7,Puma Future Ultimate FG W,Mumbai,Women,Basketball,5260,2790,,In-Store,0,0,L
PUM622401,22,13.1,Puma Vikky v3,Chennai,Women,Running,8280,4480,,Online,158297.04,59737.04,L
PUM652530,48,20.1,Puma ForeverRun Nitro,Banglore,Women,Basketball,10580,5030,,Online,405764.16,164324.16,L
PUM557875,25,48.9,Puma Velocity Nitro 3,Delhi,Men,Training,6620,3380,,Online,84570.5,70.5,L
PUM166963,2,19.5,Puma Rise Jr,Chennai,Kids,Lifestyle,11230,5770,,Online,18080.3,6540.3,L
PUM671468,9,47.6,Puma Suede Mayu W,Unknown,Women,Running,8120,4000,,In-Store,38293.92,2293.92,L
PUM563405,49,41.4,Puma Stewie 2,Ahmedabad,Men,Soccer,5350,2650,,Online,153619.9,23769.9,L
PUM875982,22,0,Puma King Match Jr FG,Mumbai,Kids,Basketball,13140,5220,,Online,289080,174240,L
PUM294122,23,36,Puma Future Ultimate FG W,Jaipur,Women,Training,3910,1920,,In-Store,57555.2,13395.2,L
PUM952633,33,13.9,Puma Pacer Future Jr,Banglore,Kids,Running,4550,0,,Online,129279.15,129279.15,L
PUM809203,35,43.7,Puma Turin Jr,Kolkata,Kids,Soccer,16480,6750,,In-Store,324738.4,88488.4,L
PUM239580,23,22.9,Puma Magnify Nitro 2 W,Pune,Women,Lifestyle,7370,2810,,Online,130692.21,66062.21,L
PUM231016,26,40.8,Puma Cali Dream,Kolkata,Women,Basketball,5100,2770,,Online,78499.2,6479.2,L
PUM161293,49,40.4,Puma All-Pro Nitro,Chennai,Men,Running,13150,7590,,Online,384032.6,12122.6,L
PUM369708,27,29.3,Puma Smash v2,Delhi,Men,Basketball,8430,4410,,In-Store,160920.27,41850.27,L
PUM127583,41,8.6,Puma Smash v2,Pune,Men,Lifestyle,15240,5650,,In-Store,571103.76,339453.76,L
PUM473358,6,38.4,Puma King Pro FG W,Hyderabad,Women,Training,19930,11650,,Online,73661.28,3761.28,L
PUM562578,21,2.3,Puma ForeverRun Nitro,Pune,Women,Training,14740,6850,,In-Store,302420.58,158570.58,L
PUM399357,11,28.2,Puma King Pro FG W,Pune,Women,Running,4630,1920,,In-Store,36567.74,15447.74,L
PUM602154,22,4,Puma Smash v2 Jr,Chennai,Kids,Running,5640,2430,,Online,119116.8,65656.8,L
PUM189951,40,26.8,Puma Anzarun Lite Jr,Banglore,Kids,Lifestyle,9870,4750,,In-Store,288993.6,98993.6,L
PUM967236,6,10.4,Puma Future Ultimate FG,Kolkata,Men,Basketball,16320,8750,,Online,87736.32,35236.32,L
PUM884202,11,25.7,Puma Fuse 2.0,Chennai,Men,Running,10730,0,,Online,87696.29,87696.29,L
PUM325657,25,3,Puma Rise Jr,Chennai,Kids,Basketball,3520,1740,,In-Store,85360,41860,L
PUM983852,31,2.8,Puma Future Rider,Banglore,Men,Basketball,9490,5050,,In-Store,285952.68,129402.68,L
PUM864273,2,10.2,Puma Softride Premier,Mumbai,Men,Training,9680,4000,,In-Store,17385.28,9385.28,L
PUM196902,13,38.9,Puma Cali Dream,Banglore,Women,Basketball,5440,2290,,Online,43209.92,13439.92,L
PUM870023,36,29.7,Puma Anzarun Lite Jr,Kolkata,Kids,Lifestyle,9280,4970,,In-Store,234858.24,55938.24,L
PUM301170,38,40.6,Puma Retaliate 2,Lucknow,Men,Training,16130,5970,,Online,364086.36,137226.36,L
PUM636279,0,41.8,Puma Deviate Elite 3,Mumbai,Men,Soccer,14350,5750,,In-Store,0,0,L
PUM288526,46,44.8,Puma Future Rider,Hyderabad,Men,Running,11570,4360,,In-Store,293785.44,93225.44,L
PUM292800,33,17,Puma Smash v2 Jr,Lucknow,Kids,Running,0,3620,,Online,0,-119460,L
PUM170509,32,24.9,Puma All-Pro Nitro,Lucknow,Men,Soccer,8130,4670,,In-Store,195380.16,45940.16,L
PUM688683,0,38.1,Puma Future Rider,Pune,Men,Lifestyle,0,2350,,Online,0,0,L
PUM626884,20,49.1,Puma Velocity Nitro 3,Pune,Men,Soccer,9870,4860,,In-Store,100476.6,3276.6,L
PUM350596,32,29.7,Puma Playmaker Pro Jr,Chennai,Kids,Running,12390,6820,,In-Store,278725.44,60485.44,L
PUM583807,26,45.2,Puma Attacanto FG,Mumbai,Men,Training,8220,4630,,Online,117118.56,-3261.44,L
PUM337113,17,47.3,Puma Suede Mayu W,Unknown,Women,Training,18340,9420,,Online,164308.06,4168.06,L
PUM141595,0,10.2,Puma Ella W,Pune,Women,Basketball,4570,0,,Online,0,0,L
PUM783517,6,6.9,Puma Run XX Nitro 2,Hyderabad,Women,Basketball,7630,3030,,Online,42621.18,24441.18,L
PUM245237,19,0.9,Puma Vikky v3,Delhi,Women,Training,10400,5190,,In-Store,195821.6,97211.6,L
PUM944572,24,48.5,Puma Smash v2,Lucknow,Men,Lifestyle,10310,4700,,Online,127431.6,14631.6,L
PUM461457,22,21.2,Puma Future Ultimate FG W,Banglore,Women,Basketball,9750,4970,,In-Store,169026,59686,L
PUM159197,2,42.6,Puma Rise Jr,Kolkata,Kids,Soccer,6980,2850,,Online,8013.04,2313.04,L
PUM127946,7,38.2,Puma Future Ultimate FG W,Banglore,Women,Soccer,14350,7800,,Online,62078.1,7478.1,L
PUM893911,48,5.7,Puma Deviate Elite 3 W,Delhi,Women,Training,7650,3210,,Online,346269.6,192189.6,L
PUM322882,20,33.1,Puma All-Pro Nitro W,Pune,Women,Soccer,10240,5250,,Online,137011.2,32011.2,L
PUM685193,34,15.4,Puma Pacer Future Jr,Delhi,Kids,Running,10670,4350,,In-Store,306911.88,159011.88,L
PUM190705,3,0,Puma Rise Jr,Kolkata,Kids,Lifestyle,3460,0,,In-Store,10380,10380,L
PUM459159,49,0,Puma Stewie 2,Ahmedabad,Men,Basketball,9790,5280,,In-Store,479710,220990,L
PUM477863,12,46.4,Puma Attacanto FG,Banglore,Men,Basketball,7720,3950,,Online,49655.04,2255.04,L
PUM870118,45,47.9,Puma Retaliate 2,Banglore,Men,Training,17260,7970,,In-Store,404660.7,46010.7,L
PUM482199,33,18.2,Puma Better Foam Prowl,Hyderabad,Men,Basketball,14930,8670,,Online,403020.42,116910.42,L
PUM586129,5,5.6,Puma Anzarun Lite Jr,Chennai,Kids,Soccer,8630,3110,,Online,40733.6,25183.6,L
PUM736593,9,44.2,Puma Rise Jr,Hyderabad,Kids,Soccer,14230,8390,,In-Store,71463.06,-4046.94,L
PUM330434,33,19.3,Puma Softride Rift Jr,Banglore,Kids,Basketball,8510,4040,,Online,226629.81,93309.81,L
PUM963272,41,45.3,Puma Pacer Future Jr,Banglore,Kids,Training,8980,5120,,In-Store,201394.46,-8525.54,L
PUM622127,11,0,Puma Turin Jr,Pune,Kids,Running,4680,1730,,In-Store,51480,32450,L
PUM711214,22,1.5,Puma Softride Rift Jr,Lucknow,Kids,Running,11790,6180,,In-Store,255489.3,119529.3,L
PUM235820,19,29.5,Puma King Pro FG W,Kolkata,Women,Training,5040,2550,,In-Store,67510.8,19060.8,L
PUM550512,13,4.5,Puma Softride Rift Jr,Hyderabad,Kids,Soccer,10270,5450,,In-Store,127502.05,56652.05,L
PUM760943,14,47.2,Puma Turin Jr,Banglore,Kids,Lifestyle,7310,2800,,In-Store,54035.52,14835.52,L
PUM773196,0,32,Puma Fuse 2.0,Jaipur,Men,Soccer,15590,8900,,Online,0,0,L
PUM919125,36,0,Puma Eternity Nitro 2,Banglore,Men,Soccer,15860,6760,,In-Store,570960,327600,L
PUM532144,24,20.6,Puma Future Rider,Hyderabad,Men,Lifestyle,10750,5050,,In-Store,204852,83652,L
PUM267404,38,34.7,Puma Smash v2 Jr,Ahmedabad,Kids,Running,7140,3550,,In-Store,177171.96,42271.96,L
PUM528373,28,3.1,Puma Eternity Nitro 2,Lucknow,Men,Training,0,1340,,Online,0,-37520,L
PUM843117,47,6.4,Puma All-Pro Nitro,Pune,Men,Basketball,11890,6520,,In-Store,523064.88,216624.88,L
PUM837019,2,34.6,Puma Softride Ruby W,Banglore,Women,Basketball,8570,3710,,In-Store,11209.56,3789.56,L
PUM689149,35,49.5,Puma Retaliate 2,Lucknow,Men,Lifestyle,6560,3430,,Online,115948,-4102,L
PUM781052,15,9.9,Puma Fuse 2.0,Lucknow,Men,Training,6110,3020,,In-Store,82576.65,37276.65,L
PUM621404,21,14.6,Puma Suede Jr,Mumbai,Kids,Lifestyle,9830,5290,,Online,176291.22,65201.22,L
PUM699224,40,41.2,Puma Run XX Nitro 2,Delhi,Women,Running,10120,5300,,Online,238022.4,26022.4,L
PUM927939,33,36.4,Puma Stewie 2 Team W,Delhi,Women,Lifestyle,4720,2140,,In-Store,99063.36,28443.36,L
PUM765107,11,17.1,Puma Future 7 Play FG Jr,Banglore,Kids,Basketball,5740,2410,,In-Store,52343.06,25833.06,L
PUM970172,33,22.3,Puma Kyron W,Hyderabad,Women,Basketball,7060,3820,,In-Store,181025.46,54965.46,L
PUM846591,4,46.8,Puma Future 7 Play FG Jr,Delhi,Kids,Training,16940,8610,,In-Store,36048.32,1608.32,L
